name	norad	classification	int_desig	epoch_year	epoch_day	dn_o2	ddn_o6	bstar	set_num	inc	raan	ecc	argp	M	n	rev_num	epoch
VANGUARD 1	5	U	58002B	2022	93.17498593	6.48E-06	0	0.00084891	999	34.2491	11.3775	0.1845227	58.718	318.1107	10.84897243	27646	11:58.8
VANGUARD 2	11	U	59001A	2022	93.15269782	1.54E-05	0	0.00081409	999	32.8693	116.9453	0.1467167	348.0986	8.8208	11.86020802	69445	39:53.1
VANGUARD R/B	12	U	59001B	2022	92.48516248	8.48E-06	0	0.00047651	999	32.9101	222.3364	0.1666498	274.9955	66.3272	11.44610308	35491	38:38.0
VANGUARD R/B	16	U	58002A	2022	93.06015556	9.10E-07	0	0.00014453	999	34.2638	64.4564	0.2025557	117.9284	264.0815	10.48815006	52755	26:37.4
VANGUARD 3	20	U	59007A	2022	92.82901361	1.12E-05	0	0.00045435	999	33.3455	10.3433	0.1664919	138.724	235.1954	11.56135077	30633	53:46.8
EXPLORER 7	22	U	59009A	2022	92.83401897	4.83E-05	0	0.00037038	999	50.2821	269.6066	0.0136598	240.5986	118.1267	14.96357566	56830	00:59.2
TIROS 1	29	U	60002B	2022	92.90289219	5.09E-06	0	0.00010619	999	48.3788	99.7068	0.0023693	154.0296	206.181	14.745678	31511	40:09.9
TRANSIT 2A	45	U	60007A	2022	92.7092935	2.00E-06	0	7.64E-05	999	66.6929	96.621	0.025772	200.9755	158.0624	14.33807385	15962	01:23.0
SOLRAD 1 (GREB)	46	U	60007B	2022	93.17257749	1.82E-05	0	0.00037995	999	66.6895	77.1736	0.0209661	0.932	359.2135	14.49583364	23398	08:30.7
THOR ABLESTAR R/B	47	U	60007C	2022	92.67605521	1.02E-05	0	0.00025069	999	66.6661	205.4944	0.0228022	186.5422	173.2696	14.4227921	22901	13:31.2
DELTA 1 R/B	50	U	60009B	2022	92.55529112	-8.90E-07	0	-2.37E-05	999	47.2294	251.1513	0.0113989	115.2361	246.0293	12.20120071	75008	19:37.2
ECHO 1 DEB (METAL OBJ)	51	U	60009C	2022	93.13630516	7.00E-08	0	0.00088463	999	47.2113	121.9975	0.0108223	308.5422	50.5706	12.18278933	74389	16:16.8
ECHO 1 DEB (METAL OBJ)	53	U	60009E	2022	92.24214495	-5.00E-08	0	0.00077665	999	47.2785	42.7711	0.0098391	214.2644	145.1769	12.17269328	74820	48:41.3
COURIER 1B	58	U	60013A	2022	93.16581705	1.09E-06	0	3.93E-05	999	28.3289	13.085	0.0165013	89.7498	272.1954	13.46332513	2744	58:46.6
THOR ABLESTAR R/B	59	U	60013B	2022	92.70814368	1.39E-06	0	7.09E-05	999	28.2479	97.4038	0.0189158	17.6346	343.0661	13.52996305	3491	59:43.6
SCOUT X-1 R/B	82	U	61004B	2022	92.56244616	3.20E-07	0	7.03E-05	999	38.8566	296.3777	0.1173489	0.2513	359.8581	12.26006816	88809	29:55.3
SCOUT X-1 DEB	85	U	61004C	2022	92.49962691	0.00011995	0	0.0023952	999	38.7672	277.3965	0.0375257	188.7994	170.6036	14.25406535	2423	59:27.8
EXPLORER 11	107	U	61013A	2022	92.66520331	5.97E-05	0	0.00078502	999	28.7899	85.1291	0.0543313	325.6877	30.9707	14.09768262	5859	57:53.6
THOR ABLE DEB (YO)	115	U	60002D	2022	92.80021351	2.01E-05	0	0.00026209	999	48.1683	6.7775	0.0034637	253.9593	105.7504	14.84156663	28898	12:18.4
TRANSIT 4A	116	U	61015A	2022	92.90158997	5.80E-07	0	0.00010317	999	66.811	48.289	0.008273	270.4517	88.7083	13.91818552	8287	38:17.4
SOLRAD 3/INJUN 1	117	U	61015B	2022	92.86406764	1.30E-07	0	7.04E-05	999	66.8116	149.5328	0.0084348	290.6171	68.5875	13.89885189	8053	44:15.4
THOR ABLESTAR R/B	118	U	61015C	2022	92.93979677	9.20E-07	0	0.00010895	999	66.7633	289.4589	0.0089947	273.4554	85.6245	14.01766254	10075	33:18.4
THOR ABLESTAR DEB	119	U	61015D	2022	92.95080726	9.13E-06	0	0.0004095	999	66.7293	52.0135	0.0113029	290.8855	68.0168	14.23586973	13939	49:09.7
THOR ABLESTAR DEB	120	U	61015E	2022	92.44004751	6.59E-06	0	0.00029252	999	66.7047	114.823	0.0113451	31.1953	329.5811	14.25674088	12898	33:40.1
THOR ABLESTAR DEB	121	U	61015F	2022	92.92376232	-4.00E-08	0	4.93E-05	999	66.7461	258.8035	0.0094324	353.6078	6.3794	13.99736514	11130	10:13.1
THOR ABLESTAR DEB	122	U	61015G	2022	92.76418393	4.13E-05	0	0.00067286	999	66.7519	226.391	0.0074141	339.6642	20.1527	14.70227806	16654	20:25.5
THOR ABLESTAR DEB	123	U	61015H	2022	92.67054358	6.81E-06	0	0.00023795	999	66.6852	191.7532	0.0122012	311.743	47.3288	14.37340231	15840	05:35.0
THOR ABLESTAR DEB	124	U	61015J	2022	92.96507162	4.60E-06	0	0.00020311	999	66.5461	349.2258	0.0068487	120.6868	240.1002	14.30844358	13877	09:42.2
THOR ABLESTAR DEB	125	U	61015K	2022	92.57306143	1.68E-06	0	0.00014846	999	66.8763	169.6012	0.0067762	110.4609	250.3771	14.05699465	10114	45:12.5
THOR ABLESTAR DEB	126	U	61015L	2022	92.72325908	1.42E-05	0	0.00049489	999	66.7122	219.7795	0.0074501	306.6496	52.7771	14.36728472	14331	21:29.6
THOR ABLESTAR DEB	127	U	61015M	2022	92.68305178	1.70E-05	0	0.00056075	999	66.8305	72.406	0.0064529	106.6798	254.1402	14.39320167	14508	23:35.7
THOR ABLESTAR DEB	128	U	61015N	2022	92.61176152	7.60E-07	0	9.89E-05	999	66.6756	59.858	0.0101516	290.7944	68.2287	14.01263847	9973	40:56.2
THOR ABLESTAR DEB	130	U	61015Q	2022	92.73968397	7.80E-07	0	0.00010464	999	66.7693	100.1128	0.0092993	286.9448	72.1457	13.98774004	9652	45:08.7
THOR ABLESTAR DEB	131	U	61015R	2022	92.92013267	1.70E-06	0	0.00016245	999	66.7366	330.8349	0.0075417	57.3794	303.4539	14.00787465	8822	04:59.5
THOR ABLESTAR DEB	132	U	61015S	2022	92.90474437	3.20E-07	0	8.15E-05	999	66.6601	168.0576	0.0070919	151.077	209.4269	13.94362	8945	42:49.9
THOR ABLESTAR DEB	133	U	61015T	2022	92.86952801	6.56E-06	0	0.00034834	999	67.1154	150.277	0.0062245	283.7801	75.6372	14.1857113	11526	52:07.2
THOR ABLESTAR DEB	134	U	61015U	2022	92.76281445	1.47E-06	0	0.00015645	999	66.8803	226.8964	0.008646	223.4205	136.0046	13.96912352	9104	18:27.2
THOR ABLESTAR DEB	136	U	61015W	2022	92.86341201	1.29E-05	0	0.00047741	999	67.529	253.0592	0.0058345	348.0133	11.9581	14.3413182	13591	43:18.8
